UNIQUE_KEY;Nom_usuel;Prenom_usuel;Titre_usuel;Sexe;Nationalite;Date_naissance_recherche;Lieu_naissance;Date_deces_recherche;Lieu_deces;Profession;Commentaire biographique;Programme;Etat_avancement_saisie
162022;Adam;Edmond;;masculin;;19e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
162697;Alexandre;;;masculin;;;;;;collectionneur;"Sur le procès -verbal de la vente pourtalès, lorsque son nom apparaît il est noté à la suite ""président du tribunal""; plus loin ""vice-président"". Il s'agit probablement de M. Constant Adolphe Alexandre, vice-président du tribunal de la Seine, né en 1797, tel qu'il apparaît dans le Catalogue général de la librairie française, volume 1, comme traducteur de l'ouvrage allemand 'Histoire romaine"" de Th. Mommsen.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
145290;Allard;;;masculin;;19e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
159763;Almas-Dietrich;Maria;;féminin;"Allemagne;Turquie;";28 juillet 1892;Munich;1971;;marchand d'art;;"Répertoire des acteurs du marché de l'art en France sous l'occupation allemande (1940-1944), RAMA - INHA / TU;";En cours de saisie
163680;Altounian;Joseph;;masculin;;1848;Istanbul;1924;Mâcon;antiquaire;;"Les sculptures allemandes dans les collections publiques françaises (vers 1450-1530), bois et bois polychromé - INHA / Musée du Louvre;";En cours de saisie
147657;Amelin;;;masculin;;19e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
161242;Angel[...]x;;;masculin;;18e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
120250;Anonyme;;;inconnu;;;;;;;mentionne un auteur non identifié;"Made in Algeria - Généalogie d'un territoire - INHA;Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles), RETIF - INHA;Catalogue des ?uvres des collections de Jacques Doucet - INHA;Iconographie musicale : répertoire d'?uvres d'art à sujets musicaux publiées par Albert Pomme de Mirimonde - INHA;Revue Musica (1902-1914) - INHA;Livres français d'architecture (1512-1914) - INHA;Documents graphiques de la Bibliothèque de l'Institut national d'histoire de l'art - INHA;Documents d'archives et documents photographiques de la Bibliothèque de l'Institut national d'histoire de l'art - INHA;Guide des archives de l?art conservées en France (XIXe-XXIe siècles), GAAEL - INHA;Le musée des Monuments français d'Alexandre Lenoir, histoire et collections - INHA / Musée du Louvre;Base d?art ibérique et latino-américain (1300-1870), BAILA - INHA / Musée du Louvre;Répertoire des ventes d'antiques en France au XIXe siècle - INHA;Inventaire des maquettes de costume de scène dessinées par Christian Lacroix - INHA;Les collections du cardinal Fesch, histoire, inventaire, historiques - INHA - Ville d'Ajaccio;Inventaire des fonds d'archives d'Albert Ballu et de Charles Diehl - INHA;Les collections Rothschild dans les institutions publiques françaises - INHA;Recensement de la peinture française du XVIe siècle - INHA / Musée du Louvre;";Publiée
147692;Arjuzon;;vicomte d';masculin;;;;;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
3449;Armand;Alfred;;masculin;"France;";28 septembre 1805 (6 Vendémiaire An 14);Paris;28 juin 1888;Paris;architecte;"Grâce à l'adresse inscrite dans les PV de la vente Pourtalès de 1865, le 53 bis rue St Lazare, il est possible d'identifier Alfred Armand comme l'un des principaux acheteurs de la collection Pourtalès, avec 16 lots, et surtout de la collection Piot lors de la vente de 1864 avec 94 lots. Il est à nouveau présent lors de la vente Janzé en 1866. 1835/1836-1853 (?) : architecte de la Compagnie de Saint-Germain ; 1844-1845 : architecte d?État sur la ligne du Nord ; 1845-1852 : architecte en chef de la Compagnie du Nord ; 1852-ca. 1857 : appartient à la commission de surveillance du Nouveau Louvre ; 1854-1863 : architecte de la Compagnie immobilière ; 1859-1862 : architecte des Pereire (hôtel particulier de la rue du faubourg Saint-Honoré, château d'Armainvilliers et ferme Pereire) ; 1869-1888 : membre fondateur de la Société des graveurs français. Biographie rédigée par Marie-Laure Crosnier Leconte : Matricule de l'Ecole des Beaux-Arts : 687. Alfred Armand, né à Paris 11è le 6 Vendémiaire an 14 (8 octobre 1805), fils de Rosalie Armand et de père inconnu, élève de Jean Louis Provost et Achille Leclère, admis le 22 janvier 1827, obtient 3 3è Médailles en mathématiques, construction en bois et perspective, les 1er mai 1827, 22 janvier 1830 et 2 avril 1830 (architecte à Paris; architecte de la Compagnie des Chemins de fer de l'Ouest en 1836, et du Nord en 1845; travaille pour les frère Pereire; Grand Hôtel boulevard des Capucines en 1862-1863, hôtel Pereire rue du faubourg Saint-Honoré, gares d'Arras, Amiens, Lille en 1846-1847, Calais en 1848, Saint-Quentin en 1850, Douai en 1851, hôtel du Louvre, gares de Saint-Cloud et Versailles en 1840-1842, château d'Armainvilliers; abandonne sa carrière d'architecte en 1863 pour se consacrer à ses collections d'objets d'art, de photographies, de médailles et de dessins anciens; publication : Les Médailleurs italiens des XVè et XVIè siècles, Paris, 1879, Prix Bordin de l'Académie des beaux-arts en 1884; membre de la Société centrale des architectes en 1841-1842; honorary corresponding member of the R.I.B.A.; chevalier de la Légion d'honneur (décret du 29 avril 1847), officier (décret du 14 août 1862); mort à Paris le jeudi 28 juin 1888; Archives nationales de France, AJ/52/353, dossier d?élève, et LH/50/5, dossier Légion d'honneur; Bauchal, 1887; annonce de décès dans L'Architecture, 30 juin 1888, p. 312, notice nécrologique dans La Construction moderne, 7 juillet 1888, p. 468; Delaire, 1907; ThB, II, 1908; Monika Spiller in AKL, V, 1992; Dugast et Parizet; Tiphaine Zirmi, ""Comment les Pereire firent la fortune de l'architecte Alfred Armand (1805-1888)"", Livraisons d'histoire de l'architecture, 5, 2003, p. 107-125: Musée d'Orsay, documentation)";"Dictionnaire des élèves architectes de l?École des beaux-arts de Paris (1800-1968) - INHA;Livres français d'architecture (1512-1914) - INHA;Documents d'archives et documents photographiques de la Bibliothèque de l'Institut national d'histoire de l'art - INHA;Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
